@RELATION seismic-bumps

@ATTRIBUTE 'seismic' {'a','b'}
@ATTRIBUTE 'seismoacoustic' {'a','b','c'}
@ATTRIBUTE 'shift' {'N','W'}
@ATTRIBUTE 'genergy' real
@ATTRIBUTE 'gimpuls' real
@ATTRIBUTE 'goenergy' real
@ATTRIBUTE 'goimpuls' real
@ATTRIBUTE 'ghazard' {'a','b','c'}
@ATTRIBUTE 'nbumps' real
@ATTRIBUTE 'nbumps2' real
@ATTRIBUTE 'nbumps3' real
@ATTRIBUTE 'nbumps4' real
@ATTRIBUTE 'nbumps5' real
@ATTRIBUTE 'nbumps6' real
@ATTRIBUTE 'nbumps7' real
@ATTRIBUTE 'nbumps89' real
@ATTRIBUTE 'senergy' real
@ATTRIBUTE 'maxenergy' real
@ATTRIBUTE 'class' {'0','1'}

@DATA
'a','b','N',58230.0,279.0,8.0,27.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',96600.0,383.0,87.0,70.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',63550.0,325.0,15.0,35.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',194580.0,697.0,-35.0,-32.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',26510.0,106.0,-55.0,-60.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',166700.0,363.0,-34.0,-56.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',134640.0,611.0,-41.0,-16.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',76150.0,260.0,-52.0,-50.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,'0'
'a','a','W',557230.0,1642.0,2.0,11.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',372380.0,1264.0,-26.0,-9.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',74570.0,308.0,-41.0,-35.0,'a',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4000.0,3000.0,'0'
'a','a','N',64930.0,273.0,-35.0,-33.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,'0'
'b','c','W',696470.0,1368.0,-16.0,-12.0,'a',2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2400.0,2000.0,'0'
'a','a','N',77540.0,174.0,-75.0,-73.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',320150.0,1012.0,-58.0,-42.0,'a',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,3000.0,'0'
'a','a','W',1766860.0,2899.0,32.0,18.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'1'
'b','b','W',1355970.0,2326.0,-7.0,-12.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',1367850.0,3137.0,-15.0,5.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,'0'
'a','a','N',144520.0,407.0,-34.0,-27.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,'0'
'b','b','W',1134540.0,1363.0,1.0,-5.0,'a',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7000.0,5000.0,'0'
'b','a','W',453850.0,1973.0,-23.0,-9.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8000.0,8000.0,'0'
'a','a','N',54750.0,233.0,-38.0,-40.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',593950.0,1972.0,-13.0,-2.0,'a',4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,32800.0,30000.0,'0'
'b','a','W',329680.0,1268.0,-24.0,-26.0,'a',1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70000.0,70000.0,'0'
'b','a','W',256850.0,1650.0,-11.0,-31.0,'a',4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,700.0,'0'
'b','b','W',397280.0,1630.0,-29.0,-48.0,'a',3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,31300.0,30000.0,'0'
'a','a','N',2970.0,50.0,-95.0,-87.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',4490.0,35.0,-78.0,-73.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',122850.0,886.0,-58.0,-52.0,'a',3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6900.0,6000.0,'1'
'b','a','W',76560.0,586.0,-47.0,-41.0,'a',5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9500.0,4000.0,'0'
'a','c','N',11350.0,94.0,-87.0,-84.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',47980.0,382.0,-26.0,-32.0,'a',3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,38600.0,30000.0,'0'
'b','a','W',22090.0,174.0,-47.0,-54.0,'a',4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8800.0,5000.0,'0'
'b','b','W',60390.0,622.0,96.0,96.0,'a',9.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,40600.0,20000.0,'1'
'b','a','W',38170.0,784.0,-27.0,12.0,'a',3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3500.0,2000.0,'0'
'b','b','W',59380.0,949.0,27.0,30.0,'a',5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,26600.0,20000.0,'0'
'b','b','W',108750.0,384.0,96.0,-56.0,'a',4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6200.0,3000.0,'1'
'b','b','W',88360.0,443.0,1.0,15.0,'a',4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6300.0,4000.0,'0'
'b','b','W',81600.0,628.0,-1.0,75.0,'a',6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,44000.0,40000.0,'0'
'a','a','W',40420.0,269.0,-42.0,-31.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',37270.0,293.0,-31.0,-23.0,'a',3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6200.0,4000.0,'0'
'a','a','W',42280.0,375.0,-17.0,-6.0,'a',5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,12100.0,7000.0,'0'
'a','a','W',60200.0,449.0,32.0,24.0,'a',5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9200.0,5000.0,'0'
'b','a','W',87140.0,680.0,94.0,83.0,'a',4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,27100.0,20000.0,'0'
'b','b','N',6140.0,60.0,-17.0,23.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,'0'
'a','b','N',1630.0,26.0,-72.0,-44.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,'0'
'a','a','N',9470.0,79.0,-81.0,-84.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,'0'
'a','b','W',42930.0,341.0,54.0,-11.0,'a',5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6200.0,3000.0,'0'
'a','a','N',4190.0,43.0,-58.0,-49.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',1650.0,21.0,-79.0,-69.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',60910.0,882.0,55.0,62.0,'a',2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,303000.0,300000.0,'0'
'a','a','N',5770.0,45.0,-86.0,-89.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,'0'
'b','a','W',38070.0,220.0,-55.0,-48.0,'a',2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7900.0,7000.0,'0'
'b','a','W',74940.0,360.0,31.0,15.0,'a',2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,400.0,'0'
'b','a','W',65490.0,735.0,60.0,72.0,'a',3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,72000.0,60000.0,'0'
'a','b','W',44770.0,770.0,-22.0,2.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,'1'
'a','b','W',24570.0,434.0,-52.0,-53.0,'a',2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,3000.0,'0'
'a','b','W',56350.0,999.0,26.0,19.0,'a',2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,800.0,'0'
'a','a','N',72300.0,155.0,-14.0,-82.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,'0'
'a','a','W',154830.0,1252.0,33.0,11.0,'a',2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,700.0,'0'
'b','a','W',127110.0,1140.0,-12.0,-9.0,'a',3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22600.0,20000.0,'1'
'b','b','W',105810.0,958.0,-27.0,-26.0,'a',3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14900.0,8000.0,'0'
'a','b','W',121400.0,1063.0,-23.0,-29.0,'a',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8000.0,6000.0,'0'
'b','a','W',127010.0,1388.0,-30.0,-22.0,'a',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9000.0,5000.0,'1'
'b','a','W',229070.0,2597.0,30.0,51.0,'a',2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,100000.0,80000.0,'0'
'b','a','W',132470.0,1552.0,-28.0,-16.0,'a',5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,54800.0,50000.0,'0'
'b','a','W',118120.0,1716.0,-33.0,-14.0,'a',1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20000.0,20000.0,'0'
'a','a','W',29240.0,217.0,-71.0,-85.0,'a',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8000.0,5000.0,'0'
'a','a','W',21060.0,106.0,-61.0,-82.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',57860.0,383.0,95.0,92.0,'a',2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4700.0,4000.0,'0'
'a','a','W',18210.0,150.0,-54.0,-51.0,'a',3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7700.0,5000.0,'0'
'a','a','N',10850.0,131.0,55.0,49.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',17750.0,151.0,-49.0,-48.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,'0'
'a','b','W',48820.0,446.0,57.0,75.0,'b',5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3900.0,2000.0,'0'
'a','b','N',49410.0,74.0,-33.0,-69.0,'a',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6000.0,3000.0,'0'
'a','a','W',104210.0,185.0,-39.0,-56.0,'a',2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,300.0,'0'
'a','b','N',19120.0,36.0,-24.0,-20.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',147570.0,259.0,-30.0,-31.0,'a',3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,1000.0,'0'
'a','a','W',82480.0,172.0,-34.0,-21.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,'0'
'a','b','N',20840.0,52.0,-14.0,-3.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',29560.0,112.0,22.0,103.0,'b',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',48440.0,76.0,86.0,11.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',72460.0,150.0,166.0,180.0,'b',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,'0'
'a','b','N',24550.0,62.0,44.0,23.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',27490.0,55.0,39.0,11.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',4790.0,21.0,-94.0,-82.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',11620.0,23.0,-76.0,-71.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',10760.0,28.0,-1.0,-30.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',8110.0,29.0,-33.0,-28.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',6460.0,27.0,-37.0,-32.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',4240.0,25.0,19.0,-38.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',3420.0,14.0,5.0,-65.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',3840.0,13.0,60.0,-68.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',3530.0,27.0,30.0,-32.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',780.0,6.0,-70.0,-85.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',1340.0,21.0,-42.0,-48.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',1620.0,11.0,-30.0,-72.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',2570.0,10.0,18.0,-75.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',1870.0,11.0,-24.0,-72.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',4720.0,26.0,73.0,-35.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',560.0,7.0,-84.0,-82.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',5090.0,35.0,63.0,-12.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',5660.0,118.0,59.0,95.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',58720.0,513.0,175.0,8.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',27020.0,294.0,334.0,-5.0,'b',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',14970.0,409.0,39.0,69.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',38430.0,406.0,54.0,-10.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',22990.0,395.0,-8.0,-12.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',34750.0,368.0,36.0,-17.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',12280.0,290.0,14.0,20.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',7440.0,130.0,-26.0,-43.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',5000.0,163.0,-50.0,-29.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','b','N',19760.0,445.0,114.0,101.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',34020.0,858.0,60.0,38.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',19910.0,373.0,-24.0,-2.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,'0'
'b','a','N',15280.0,521.0,63.0,74.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',10360.0,131.0,76.0,-49.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',7090.0,124.0,-69.0,-69.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',38820.0,647.0,259.0,137.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',27540.0,291.0,28.0,-24.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',21280.0,217.0,-1.0,-43.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',14070.0,504.0,25.0,81.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',33560.0,590.0,194.0,111.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',10730.0,233.0,-26.0,-36.0,'b',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','b','W',18850.0,587.0,4.0,23.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','b','W',13770.0,254.0,-14.0,9.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',17050.0,476.0,-9.0,-5.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',10220.0,434.0,-45.0,-14.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',12260.0,413.0,31.0,32.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,'0'
'a','a','N',9220.0,277.0,-2.0,-11.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',2910.0,80.0,-58.0,-54.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',5840.0,102.0,-17.0,-39.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',3580.0,84.0,-49.0,-50.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',12520.0,321.0,37.0,3.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',10540.0,321.0,15.0,3.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',17610.0,228.0,5.0,-13.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',17050.0,404.0,-2.0,-30.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,700.0,'0'
'a','a','W',13710.0,613.0,-21.0,6.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',33640.0,699.0,150.0,81.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',29500.0,794.0,119.0,106.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'1'
'b','a','W',22910.0,629.0,72.0,62.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',16320.0,454.0,23.0,17.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','b','W',23790.0,589.0,56.0,34.0,'b',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','b','W',19790.0,825.0,-32.0,6.0,'b',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,'0'
'b','b','W',21060.0,588.0,-37.0,-36.0,'b',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'1'
'a','b','N',19500.0,678.0,112.0,122.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',9450.0,325.0,0.0,3.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',49660.0,747.0,48.0,36.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',66320.0,1644.0,72.0,53.0,'a',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6000.0,5000.0,'0'
'b','b','W',29520.0,779.0,-28.0,-32.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','b','W',47670.0,507.0,40.0,-11.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',40070.0,501.0,16.0,-11.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'1'
'a','b','W',64380.0,844.0,94.0,57.0,'a',4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4200.0,3000.0,'1'
'a','b','W',67200.0,945.0,102.0,76.0,'a',2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12000.0,10000.0,'0'
'a','b','W',65790.0,822.0,107.0,64.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7000.0,7000.0,'0'
'a','b','W',22900.0,481.0,-32.0,-8.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','N',135210.0,3261.0,1245.0,838.0,'b',2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,208000.0,200000.0,'0'
'b','b','W',40770.0,910.0,20.0,-10.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','b','N',32600.0,880.0,224.0,153.0,'a',2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60500.0,60000.0,'0'
'a','b','W',39410.0,1146.0,12.0,9.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,'0'
'a','b','W',28440.0,405.0,-19.0,-27.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','b','N',19200.0,418.0,131.0,149.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','N',18440.0,398.0,122.0,137.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,'0'
'b','a','W',27440.0,635.0,-5.0,-28.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,'0'
'a','a','N',9660.0,511.0,-4.0,47.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',15040.0,458.0,50.0,32.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,'0'
'b','a','N',7510.0,141.0,-15.0,-24.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','N',3610.0,107.0,-65.0,-72.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','N',6450.0,112.0,-38.0,-71.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',53990.0,718.0,80.0,45.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,'0'
